Nome da instituicao;Sigla da instituicao;Nome da base de dados;Sigla da base de dados;Responsavel pelo registro;Numero do registro no portal;Numero do registro na base de dados;Data do registro;Data do evento;Data de Carencia;Nome cientifico;Nome comum;Nome cientifico na base de dados;Nivel taxonomico;Numero de individuos;Reino;Filo;Classe;Ordem;Familia;Genero;Especie;Estado de conservacao;Categoria de Ameaca;Localidade;Pais;Estado/Provincia;Municipio;Status de Sensibilidade;Latitude;Longitude;Outras informacoes da localidade;Jurisdicao;Destino do Material
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Neusa Hamada;1030005;Nº Da Autorização/Licença Sisbio: 52298, Projeto: Insetos Aquáticos Da Serra Da Mocidade,Rr;19/01/2016;20/01/2016 a 20/01/2016;07/04/2017;Americabaetis;Sem Informações;Americabaetis;genus;1;Sem Informações;Arthropoda;Insecta;Ephemeroptera;Baetidae;Americabaetis;Sem Informações;Espécie não Ameaçada;Sem Informações;Parque Nacional Serra Da Mocidade;Brasil;RR;Sem Informações;Espécie não Sensível;1.583889;-61.900833;Coordenada aproximada;Sem Informações;Destinado a laboratório
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Neusa Hamada;1030069;Nº Da Autorização/Licença Sisbio: 52298, Projeto: Insetos Aquáticos Da Serra Da Mocidade,Rr;19/01/2016;20/01/2016 a 20/01/2016;07/04/2017;Americabaetis;Sem Informações;Americabaetis;genus;3;Sem Informações;Arthropoda;Insecta;Ephemeroptera;Baetidae;Americabaetis;Sem Informações;Espécie não Ameaçada;Sem Informações;Parque Nacional Serra Da Mocidade;Brasil;RR;Sem Informações;Espécie não Sensível;1.603333;-61.904444;Coordenada aproximada;Sem Informações;Destinado a laboratório
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Neusa Hamada;1072121;Nº Da Autorização/Licença Sisbio: 10873;02/06/2016;03/06/2016 a 03/06/2016;11/08/2017;Americabaetis;Sem Informações;Americabaetis;genus;2;Sem Informações;Arthropoda;Insecta;Ephemeroptera;Baetidae;Americabaetis;Sem Informações;Espécie não Ameaçada;Sem Informações;Rio Corda;Brasil;TO;Xambioa;Espécie não Sensível;-6.356389;-48.355278;Coordenada exata da ocorrência;Sem Informações;Depositado em coleção/museu
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Neusa Hamada;1072129;Nº Da Autorização/Licença Sisbio: 10873;14/03/2016;15/03/2016 a 15/03/2016;11/08/2017;Americabaetis;Sem Informações;Americabaetis;genus;1;Sem Informações;Arthropoda;Insecta;Ephemeroptera;Baetidae;Americabaetis;Sem Informações;Espécie não Ameaçada;Sem Informações;Rio Negro;Brasil;AM;Sao Gabriel Da Cachoeira;Espécie não Sensível;-0.165833;-66.956111;Coordenada exata da ocorrência;Sem Informações;Destinado a laboratório
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Leandro Juen;234202;Nº Da Autorização/Licença Sisbio: 32538, Projeto: Comunidades Aquáticas E Suas Relações Com A Integridade Do Habitat;06/04/2012;07/04/2012 a 20/04/2012;16/01/2014;Americabaetis;Sem Informações;Americabaetis;genus;1;Sem Informações;Arthropoda;Insecta;Ephemeroptera;Baetidae;Americabaetis;Sem Informações;Espécie não Ameaçada;Sem Informações;Reservas Florestais Do Grupo Agropalma;Brasil;PA;Tailandia;Espécie não Sensível;-2.61395;-48.770472;Coordenada aproximada;Sem Informações;Destinado a laboratório
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Luciola Thais Baldan;180712;Nº Da Autorização/Licença Sisbio: 29503, Projeto: Avaliação Da Integridade Ambiental Em Rios Do Município De Palotina Utilizando Descritores Ecológicos Baseados Na Entomofauna Aquática E Dados Limnológicos.;13/02/2012;14/02/2012 a 14/05/2012;22/08/2015;Americabaetis;Sem Informações;Americabaetis;genus;24;Sem Informações;Arthropoda;Insecta;Ephemeroptera;Baetidae;Americabaetis;Sem Informações;Espécie não Ameaçada;Sem Informações;Parque Estadual São Camilo - Córrego Quati;Brasil;PR;Palotina;Espécie não Sensível;-24.313889;-53.911942;Coordenada de referência da área amostrada;Sem Informações;Destinado a laboratório
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Luciola Thais Baldan;180756;Nº Da Autorização/Licença Sisbio: 29503, Projeto: Avaliação Da Integridade Ambiental Em Rios Do Município De Palotina Utilizando Descritores Ecológicos Baseados Na Entomofauna Aquática E Dados Limnológicos.;13/02/2012;14/02/2012 a 14/05/2012;22/08/2015;Americabaetis;Sem Informações;Americabaetis;genus;2;Sem Informações;Arthropoda;Insecta;Ephemeroptera;Baetidae;Americabaetis;Sem Informações;Espécie não Ameaçada;Sem Informações;Rio Pioneiro;Brasil;PR;Palotina;Espécie não Sensível;-24.285278;-53.825278;Coordenada de referência da área amostrada;Sem Informações;Destinado a laboratório
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Elisa Yokoyama;215019;Nº Da Autorização/Licença Sisbio: 23417, Projeto: Diversidade, Densidade, Composição Faunística E Relações Tróficas De Insetos Aquáticos De Riachos Em Diferentes Substratos E Mesohabitats;04/08/2010;05/08/2010 a 15/10/2010;03/11/2017;Americabaetis;Sem Informações;Americabaetis;genus;844;Sem Informações;Arthropoda;Insecta;Ephemeroptera;Baetidae;Americabaetis;Sem Informações;Espécie não Ameaçada;Sem Informações;Parque Estadual Intervales;Brasil;SP;Ribeirao Grande;Espécie não Sensível;-24.098333;-48.371111;Coordenada de referência da área amostrada;Sem Informações;Será destinado posteriormente
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Carlos Augusto Silva De Azevêdo;1016486;Nº Da Autorização/Licença Sisbio: 15078;31/12/2015;01/01/2016 a 20/01/2016;14/10/2017;Americabaetis;Sem Informações;Americabaetis;genus;150;Sem Informações;Arthropoda;Insecta;Ephemeroptera;Baetidae;Americabaetis;Sem Informações;Espécie não Ameaçada;Sem Informações;Apa Inhamum;Brasil;MA;Caxias;Espécie não Sensível;-4.891667;-43.414719;Coordenada de referência da área amostrada;Sem Informações;Será destinado posteriormente
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Luciola Thais Baldan;381865;Nº Da Autorização/Licença Sisbio: 29503, Projeto: Avaliação Da Integridade Ambiental Em Rios Do Município De Palotina Utilizando Descritores Ecológicos Baseados Na Entomofauna Aquática E Dados Limnológicos.;13/08/2012;14/08/2012 a 15/08/2012;22/08/2015;Americabaetis;Sem Informações;Americabaetis;genus;3;Sem Informações;Arthropoda;Insecta;Ephemeroptera;Baetidae;Americabaetis;Sem Informações;Espécie não Ameaçada;Sem Informações;Parque Estadual São Camilo - Córrego Quati;Brasil;PR;Palotina;Espécie não Sensível;-24.316389;-53.914167;Coordenada aproximada;Sem Informações;Destinado a laboratório
