;Nome da instituicao;Sigla da instituicao;Nome da base de dados;Sigla da base de dados;Responsavel pelo registro;Numero do registro no portal;Numero do registro na base de dados;Data do registro;Data do evento;Data de Carencia;Nome cientifico;Nome comum;Nome cientifico na base de dados;Nivel taxonomico;Numero de individuos;Reino;Filo;Classe;Ordem;Familia;Genero;Especie;Estado de conservacao;Categoria de Ameaca;Localidade;Pais;Estado/Provincia;Municipio;Status de Sensibilidade;Latitude;Longitude;Outras informacoes da localidade;Jurisdicao;Destino do Material
35;sem informações;icmbio;sistema de autorização e informação em biodiversidade.;sisbio-dibio;allan vale toledo da silveira;743912;nº da autorização/licença sisbio: 27442, projeto: uso de indicadores ecológicos multi-escala para avaliação de comunidades de macroinvertebrados aquáticos  na bacia do rio dos bois;24/08/2012;25/08/2012 a 25/08/2012;13/08/2014;americabaetis;sem informações;americabaetis;genus;17;sem informações;arthropoda;insecta;ephemeroptera;baetidae;americabaetis;sem informações;espécie não ameaçada;sem informações;córregos da bacia do rio dos bois a montante do rio turvo;brasil;go;campestre de goias;espécie não sensível;-16.743;-49.678999999999995;coordenada aproximada;sem informações;depositado em coleção/museu
36;sem informações;icmbio;sistema de autorização e informação em biodiversidade.;sisbio-dibio;allan vale toledo da silveira;743947;nº da autorização/licença sisbio: 27442, projeto: uso de indicadores ecológicos multi-escala para avaliação de comunidades de macroinvertebrados aquáticos  na bacia do rio dos bois;25/08/2012;26/08/2012 a 26/08/2012;13/08/2014;americabaetis;sem informações;americabaetis;genus;12;sem informações;arthropoda;insecta;ephemeroptera;baetidae;americabaetis;sem informações;espécie não ameaçada;sem informações;córregos da bacia do rio dos bois a montante do rio turvo;brasil;go;inhumas;espécie não sensível;-16.42;-49.536;coordenada aproximada;sem informações;depositado em coleção/museu
37;sem informações;icmbio;sistema de autorização e informação em biodiversidade.;sisbio-dibio;allan vale toledo da silveira;743956;nº da autorização/licença sisbio: 27442, projeto: uso de indicadores ecológicos multi-escala para avaliação de comunidades de macroinvertebrados aquáticos  na bacia do rio dos bois;24/08/2012;25/08/2012 a 25/08/2012;13/08/2014;americabaetis;sem informações;americabaetis;genus;3;sem informações;arthropoda;insecta;ephemeroptera;baetidae;americabaetis;sem informações;espécie não ameaçada;sem informações;córregos da bacia do rio dos bois a montante do rio turvo;brasil;go;aracu;espécie não sensível;-16.349395;-49.721443;coordenada aproximada;sem informações;depositado em coleção/museu
52;sem informações;icmbio;sistema de autorização e informação em biodiversidade.;sisbio-dibio;luciano lopes queiroz;894236;nº da autorização/licença sisbio: 19999, projeto: a influência do tamanho corporal na similaridade  das comunidades de insetos aquáticos;06/09/2009;07/09/2009 a 13/09/2009;08/05/2016;americabaetis;sem informações;americabaetis;genus;1;sem informações;arthropoda;insecta;ephemeroptera;baetidae;americabaetis;sem informações;espécie não ameaçada;sem informações;parque nacional da chapada dos veadeiros;brasil;go;sem informações;espécie não sensível;-14.113772;-47.731466999999995;coordenada exata da ocorrência;sem informações;depositado em banco de amostras biológicas
