Nome da instituicao;Sigla da instituicao;Nome da base de dados;Sigla da base de dados;Responsavel pelo registro;Numero do registro no portal;Numero do registro na base de dados;Data do registro;Data do evento;Data de Carencia;Nome cientifico;Nome comum;Nome cientifico na base de dados;Nivel taxonomico;Numero de individuos;Reino;Filo;Classe;Ordem;Familia;Genero;Especie;Estado de conservacao;Categoria de Ameaca;Localidade;Pais;Estado/Provincia;Municipio;Status de Sensibilidade;Latitude;Longitude;Outras informacoes da localidade;Jurisdicao;Destino do Material
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Eliane De Lima Jacques;234937;Nº Da Autorização/Licença Sisbio: 20325, Projeto: Diversidade E Especialização Ao Habitat Das Pteridophyta, Begoniaceae E Piperaceae Na Região Da Serra Dos Órgãos, Rj, Brasil;14/10/2009;15/10/2009 a 15/10/2009;23/01/2015;Sem Informações;Sem Informações;Abrodictyum rigidum;Sem Informações;1;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Espécie não Ameaçada;Sem Informações;Estrada Entre Funchal E Guapiaçu, Fragmentos Florestais;Brasil;RJ;Cachoeiras De Macacu;Espécie não Sensível;-22.470611;-42.761722;Coordenada de referência da área amostrada;Sem Informações;Depositado em coleção/museu
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Eliane De Lima Jacques;234946;Nº Da Autorização/Licença Sisbio: 20325, Projeto: Diversidade E Especialização Ao Habitat Das Pteridophyta, Begoniaceae E Piperaceae Na Região Da Serra Dos Órgãos, Rj, Brasil;31/03/2011;01/04/2011 a 01/04/2011;23/01/2015;Sem Informações;Sem Informações;Abrodictyum rigidum;Sem Informações;1;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Espécie não Ameaçada;Sem Informações;Estação Ecológica Estadual Do Paraiso (Eeep);Brasil;RJ;Guapimirim;Espécie não Sensível;-22.452972;-42.920417;Coordenada de referência da área amostrada;Sem Informações;Depositado em coleção/museu
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Eliane De Lima Jacques;234947;Nº Da Autorização/Licença Sisbio: 20325, Projeto: Diversidade E Especialização Ao Habitat Das Pteridophyta, Begoniaceae E Piperaceae Na Região Da Serra Dos Órgãos, Rj, Brasil;01/04/2011;02/04/2011 a 02/04/2011;23/01/2015;Sem Informações;Sem Informações;Abrodictyum rigidum;Sem Informações;1;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Espécie não Ameaçada;Sem Informações;Estação Ecológica Estadual Do Paraiso (Eeep);Brasil;RJ;Guapimirim;Espécie não Sensível;-22.453278;-42.915722;Coordenada de referência da área amostrada;Sem Informações;Descartado
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Eliane De Lima Jacques;235215;Nº Da Autorização/Licença Sisbio: 20325, Projeto: Diversidade E Especialização Ao Habitat Das Pteridophyta, Begoniaceae E Piperaceae Na Região Da Serra Dos Órgãos, Rj, Brasil;06/04/2011;07/04/2011 a 07/04/2011;23/01/2015;Sem Informações;Sem Informações;Abrodictyum rigidum;Sem Informações;1;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Espécie não Ameaçada;Sem Informações;Parque Estadual Dos Três Picos (Petp);Brasil;RJ;Guapimirim;Espécie não Sensível;-22.454444;-42.926306;Coordenada de referência da área amostrada;Sem Informações;Descartado
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Eliane De Lima Jacques;235216;Nº Da Autorização/Licença Sisbio: 20325, Projeto: Diversidade E Especialização Ao Habitat Das Pteridophyta, Begoniaceae E Piperaceae Na Região Da Serra Dos Órgãos, Rj, Brasil;06/04/2011;07/04/2011 a 07/04/2011;23/01/2015;Sem Informações;Sem Informações;Abrodictyum rigidum;Sem Informações;1;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Espécie não Ameaçada;Sem Informações;Parque Estadual Dos Três Picos (Petp);Brasil;RJ;Guapimirim;Espécie não Sensível;-22.454778;-42.926528;Coordenada de referência da área amostrada;Sem Informações;Depositado em coleção/museu
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Eliane De Lima Jacques;235723;Nº Da Autorização/Licença Sisbio: 20325, Projeto: Diversidade E Especialização Ao Habitat Das Pteridophyta, Begoniaceae E Piperaceae Na Região Da Serra Dos Órgãos, Rj, Brasil;14/10/2009;15/10/2009 a 15/10/2009;23/01/2015;Sem Informações;Sem Informações;Abrodictyum rigidum;Sem Informações;1;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Espécie não Ameaçada;Sem Informações;Estrada Entre Funchal E Guapiaçu, Fragmentos Florestais;Brasil;RJ;Cachoeiras De Macacu;Espécie não Sensível;-22.470778;-42.761778;Coordenada de referência da área amostrada;Sem Informações;Descartado
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Eliane De Lima Jacques;235724;Nº Da Autorização/Licença Sisbio: 20325, Projeto: Diversidade E Especialização Ao Habitat Das Pteridophyta, Begoniaceae E Piperaceae Na Região Da Serra Dos Órgãos, Rj, Brasil;07/06/2010;08/06/2010 a 08/06/2010;23/01/2015;Sem Informações;Sem Informações;Abrodictyum rigidum;Sem Informações;1;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Espécie não Ameaçada;Sem Informações;Estrada Entre Funchal E Guapiaçu, Fragmentos Florestais;Brasil;RJ;Cachoeiras De Macacu;Espécie não Sensível;-22.480333;-42.753472;Coordenada de referência da área amostrada;Sem Informações;Descartado
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Eder Caglioni;208582;Nº Da Autorização/Licença Sisbio: 31444, Projeto: Biodiversidade E Variação Estrutural De Vegetação Em Diferentes Larguras De Área De Preservação Permanente - App;02/12/2011;03/12/2011 a 03/12/2011;23/10/2015;Sem Informações;Sem Informações;Abrodictyum rigidum;Sem Informações;1;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Espécie não Ameaçada;Sem Informações;Parque Nacional Da Serra Do Itajaí;Brasil;SC;Sem Informações;Espécie não Sensível;-27.059083;-49.078244;Coordenada exata da ocorrência;Sem Informações;Será destinado posteriormente
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Christopher Thomas Blum;167255;Nº Da Autorização/Licença Sisbio: 15154, Projeto: Os Componentes Epifítico Vascular E Herbáceo Terrícola Da Floresta Ombrófila Densa Montana Ao Longo De Seu Gradiente Altitudinal Na Serra Da Prata, Parque Nacional Saint-Hilaire/Lange - Pr;19/09/2008;20/09/2008 a 20/09/2008;19/08/2012;Sem Informações;Sem Informações;Abrodictyum rigidum;Sem Informações;1;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Espécie não Ameaçada;Sem Informações;Parque Nacional De Saint-Hilaire/Lange;Brasil;PR;Sem Informações;Espécie não Sensível;-25.6;-48.683333;Coordenada aproximada;Sem Informações;Será destinado posteriormente
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Filipe Soares De Souza;202264;Nº Da Autorização/Licença Sisbio: 26219, Projeto: Inventário Das Pteridófitas Do Parque Nacional Do Caparaó E Suas Relações Altitudinais.;11/05/2011;12/05/2011 a 12/05/2011;07/10/2013;Sem Informações;Sem Informações;Abrodictyum rigidum;Sem Informações;1;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Sem Informações;Espécie não Ameaçada;Sem Informações;Parque Nacional De Caparao;Brasil;MG;Sem Informações;Espécie não Sensível;-20.433056;-41.797222;Coordenada aproximada;Sem Informações;Depositado em coleção/museu
