Nome da instituicao;Sigla da instituicao;Nome da base de dados;Sigla da base de dados;Responsavel pelo registro;Numero do registro no portal;Numero do registro na base de dados;Data do registro;Data do evento;Data de Carencia;Nome cientifico;Nome comum;Nome cientifico na base de dados;Nivel taxonomico;Numero de individuos;Reino;Filo;Classe;Ordem;Familia;Genero;Especie;Estado de conservacao;Categoria de Ameaca;Localidade;Pais;Estado/Provincia;Municipio;Status de Sensibilidade;Latitude;Longitude;Outras informacoes da localidade;Jurisdicao;Destino do Material
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Alexandre Luis Padovan Aleixo;437968;Nº Da Autorização/Licença Sisbio: 37740, Projeto: As Aves Do Sul Do Amazonas E Seus Simbiontes: Biodiversidade E Endemismos De Parasitas Da Avifauna Mais Diversa Da Terra;06/07/2013;07/07/2013 a 17/07/2013;11/02/2014;Mionectes oleagineus;Abre-asa;Mionectes oleagineus;species;26;Sem Informações;Chordata;Aves;Passeriformes;Tyrannidae;Mionectes;Mionectes oleagineus;Espécie não Ameaçada;Sem Informações;Reserva Biológica Do Gurupi;Brasil;MA;Sem Informações;Espécie não Sensível;-3.703556;-46.762222;Coordenada de referência da área amostrada;Sem Informações;Depositado em coleção/museu
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Marcos André Raposo Ferreira;430779;Nº Da Autorização/Licença Sisbio: 10613;07/08/2013;08/08/2013 a 19/08/2013;20/12/2016;Mionectes oleagineus;Abre-asa;Mionectes oleagineus;species;5;Sem Informações;Chordata;Aves;Passeriformes;Tyrannidae;Mionectes;Mionectes oleagineus;Espécie não Ameaçada;Sem Informações;Todo O Município;Brasil;BA;Camacan;Espécie não Sensível;-15.391471;-39.56452;Coordenada aproximada;Sem Informações;Depositado em coleção/museu
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Raquel Caroline Alves Lacerda;430978;Nº Da Autorização/Licença Sisbio: 17852;10/11/2008;11/11/2008 a 13/11/2008;04/02/2014;Mionectes oleagineus;Abre-asa;Mionectes oleagineus;species;5;Sem Informações;Chordata;Aves;Passeriformes;Tyrannidae;Mionectes;Mionectes oleagineus;Espécie não Ameaçada;Sem Informações;Estação Ecológica Da Serra Das Araras;Brasil;MT;Sem Informações;Espécie não Sensível;-15.653333;-57.222778;Coordenada exata da ocorrência;Sem Informações;Solto/mantido na natureza
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Luís Fábio Silveira;431719;Nº Da Autorização/Licença Sisbio: 21405, Projeto: Aves Do Centro De Endemismo Pernambuco: Taxonomia E Conservação;14/07/2010;15/07/2010 a 15/07/2010;01/04/2016;Mionectes oleagineus;Abre-asa;Mionectes oleagineus;species;1;Sem Informações;Chordata;Aves;Passeriformes;Tyrannidae;Mionectes;Mionectes oleagineus;Espécie não Ameaçada;Sem Informações;Serra Bonita;Brasil;BA;Camacan;Espécie não Sensível;-15.391667;-39.568333;Coordenada exata da ocorrência;Sem Informações;Depositado em coleção/museu
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Luís Fábio Silveira;431720;Nº Da Autorização/Licença Sisbio: 21405, Projeto: Aves Do Centro De Endemismo Pernambuco: Taxonomia E Conservação;18/07/2010;19/07/2010 a 19/07/2010;01/04/2016;Mionectes oleagineus;Abre-asa;Mionectes oleagineus;species;1;Sem Informações;Chordata;Aves;Passeriformes;Tyrannidae;Mionectes;Mionectes oleagineus;Espécie não Ameaçada;Sem Informações;Serra Bonita;Brasil;BA;Camacan;Espécie não Sensível;-15.391667;-39.568333;Coordenada exata da ocorrência;Sem Informações;Depositado em coleção/museu
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Luís Fábio Silveira;432277;Nº Da Autorização/Licença Sisbio: 28294, Projeto: Filogeografia Comparada Das Aves Das Terras Baixas Neotropicais: O Papel Relativo Das Barreiras Biogeográficas E Ecológicas Na Modelagem Dos Padrões Genéticos E De Distribuição Geográfica;07/09/2010;08/09/2010 a 08/09/2010;01/04/2016;Mionectes oleagineus;Abre-asa;Mionectes oleagineus;species;1;Sem Informações;Chordata;Aves;Passeriformes;Tyrannidae;Mionectes;Mionectes oleagineus;Espécie não Ameaçada;Sem Informações;Fartura;Brasil;PA;Santana Do Araguaia;Espécie não Sensível;-9.747778;-50.413889;Coordenada exata da ocorrência;Sem Informações;Depositado em coleção/museu
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Luís Fábio Silveira;432278;Nº Da Autorização/Licença Sisbio: 28294, Projeto: Filogeografia Comparada Das Aves Das Terras Baixas Neotropicais: O Papel Relativo Das Barreiras Biogeográficas E Ecológicas Na Modelagem Dos Padrões Genéticos E De Distribuição Geográfica;07/09/2010;08/09/2010 a 08/09/2010;01/04/2016;Mionectes oleagineus;Abre-asa;Mionectes oleagineus;species;1;Sem Informações;Chordata;Aves;Passeriformes;Tyrannidae;Mionectes;Mionectes oleagineus;Espécie não Ameaçada;Sem Informações;Fartura;Brasil;PA;Santana Do Araguaia;Espécie não Sensível;-9.747778;-50.413889;Coordenada exata da ocorrência;Sem Informações;Depositado em coleção/museu
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Luís Fábio Silveira;432279;Nº Da Autorização/Licença Sisbio: 28294, Projeto: Filogeografia Comparada Das Aves Das Terras Baixas Neotropicais: O Papel Relativo Das Barreiras Biogeográficas E Ecológicas Na Modelagem Dos Padrões Genéticos E De Distribuição Geográfica;07/09/2010;08/09/2010 a 08/09/2010;01/04/2016;Mionectes oleagineus;Abre-asa;Mionectes oleagineus;species;1;Sem Informações;Chordata;Aves;Passeriformes;Tyrannidae;Mionectes;Mionectes oleagineus;Espécie não Ameaçada;Sem Informações;Fartura;Brasil;PA;Santana Do Araguaia;Espécie não Sensível;-9.747778;-50.413889;Coordenada exata da ocorrência;Sem Informações;Depositado em coleção/museu
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Luís Fábio Silveira;432280;Nº Da Autorização/Licença Sisbio: 28294, Projeto: Filogeografia Comparada Das Aves Das Terras Baixas Neotropicais: O Papel Relativo Das Barreiras Biogeográficas E Ecológicas Na Modelagem Dos Padrões Genéticos E De Distribuição Geográfica;07/09/2010;08/09/2010 a 08/09/2010;01/04/2016;Mionectes oleagineus;Abre-asa;Mionectes oleagineus;species;1;Sem Informações;Chordata;Aves;Passeriformes;Tyrannidae;Mionectes;Mionectes oleagineus;Espécie não Ameaçada;Sem Informações;Fartura;Brasil;PA;Santana Do Araguaia;Espécie não Sensível;-9.747778;-50.413889;Coordenada exata da ocorrência;Sem Informações;Depositado em coleção/museu
Sem Informações;ICMBio;Sistema de Autorização e Informação em Biodiversidade.;SISBIO-DIBIO;Luís Fábio Silveira;432281;Nº Da Autorização/Licença Sisbio: 28294, Projeto: Filogeografia Comparada Das Aves Das Terras Baixas Neotropicais: O Papel Relativo Das Barreiras Biogeográficas E Ecológicas Na Modelagem Dos Padrões Genéticos E De Distribuição Geográfica;31/08/2010;01/09/2010 a 01/09/2010;01/04/2016;Mionectes oleagineus;Abre-asa;Mionectes oleagineus;species;1;Sem Informações;Chordata;Aves;Passeriformes;Tyrannidae;Mionectes;Mionectes oleagineus;Espécie não Ameaçada;Sem Informações;Fartura;Brasil;PA;Santana Do Araguaia;Espécie não Sensível;-9.747778;-50.413889;Coordenada exata da ocorrência;Sem Informações;Depositado em coleção/museu
