;Nome da instituicao;Sigla da instituicao;Nome da base de dados;Sigla da base de dados;Responsavel pelo registro;Numero do registro no portal;Numero do registro na base de dados;Data do registro;Data do evento;Data de Carencia;Nome cientifico;Nome comum;Nome cientifico na base de dados;Nivel taxonomico;Numero de individuos;Reino;Filo;Classe;Ordem;Familia;Genero;Especie;Estado de conservacao;Categoria de Ameaca;Localidade;Pais;Estado/Provincia;Municipio;Status de Sensibilidade;Latitude;Longitude;Outras informacoes da localidade;Jurisdicao;Destino do Material
5;sem informações;icmbio;sistema de autorização e informação em biodiversidade.;sisbio-dibio;luciola thais baldan;180712;nº da autorização/licença sisbio: 29503, projeto: avaliação da integridade ambiental em rios do município de palotina utilizando descritores ecológicos baseados na entomofauna aquática e dados limnológicos.;13/02/2012;14/02/2012 a 14/05/2012;22/08/2015;americabaetis;sem informações;americabaetis;genus;24;sem informações;arthropoda;insecta;ephemeroptera;baetidae;americabaetis;sem informações;espécie não ameaçada;sem informações;parque estadual são camilo - córrego quati;brasil;pr;palotina;espécie não sensível;-24.313889;-53.911942;coordenada de referência da área amostrada;sem informações;destinado a laboratório
6;sem informações;icmbio;sistema de autorização e informação em biodiversidade.;sisbio-dibio;luciola thais baldan;180756;nº da autorização/licença sisbio: 29503, projeto: avaliação da integridade ambiental em rios do município de palotina utilizando descritores ecológicos baseados na entomofauna aquática e dados limnológicos.;13/02/2012;14/02/2012 a 14/05/2012;22/08/2015;americabaetis;sem informações;americabaetis;genus;2;sem informações;arthropoda;insecta;ephemeroptera;baetidae;americabaetis;sem informações;espécie não ameaçada;sem informações;rio pioneiro;brasil;pr;palotina;espécie não sensível;-24.285277999999998;-53.825278000000004;coordenada de referência da área amostrada;sem informações;destinado a laboratório
9;sem informações;icmbio;sistema de autorização e informação em biodiversidade.;sisbio-dibio;luciola thais baldan;381865;nº da autorização/licença sisbio: 29503, projeto: avaliação da integridade ambiental em rios do município de palotina utilizando descritores ecológicos baseados na entomofauna aquática e dados limnológicos.;13/08/2012;14/08/2012 a 15/08/2012;22/08/2015;americabaetis;sem informações;americabaetis;genus;3;sem informações;arthropoda;insecta;ephemeroptera;baetidae;americabaetis;sem informações;espécie não ameaçada;sem informações;parque estadual são camilo - córrego quati;brasil;pr;palotina;espécie não sensível;-24.316389;-53.914167000000006;coordenada aproximada;sem informações;destinado a laboratório
10;sem informações;icmbio;sistema de autorização e informação em biodiversidade.;sisbio-dibio;luciola thais baldan;382123;nº da autorização/licença sisbio: 29503, projeto: avaliação da integridade ambiental em rios do município de palotina utilizando descritores ecológicos baseados na entomofauna aquática e dados limnológicos.;13/08/2012;14/08/2012 a 15/08/2012;22/08/2015;americabaetis;sem informações;americabaetis;genus;5;sem informações;arthropoda;insecta;ephemeroptera;baetidae;americabaetis;sem informações;espécie não ameaçada;sem informações;rio pioneiro;brasil;pr;palotina;espécie não sensível;-24.283056;-53.825278000000004;coordenada aproximada;sem informações;destinado a laboratório
24;sem informações;icmbio;sistema de autorização e informação em biodiversidade.;sisbio-dibio;ana lucia henriques de oliveira;333063;nº da autorização/licença sisbio: 35335, projeto: diversidade e distribuição de insetos aquáticos da mata atlântica;05/09/2012;06/09/2012 a 07/09/2012;04/08/2013;americabaetis;sem informações;americabaetis;genus;4;sem informações;arthropoda;insecta;ephemeroptera;baetidae;americabaetis;sem informações;espécie não ameaçada;sem informações;parque nacional do iguaçu;brasil;pr;sem informações;espécie não sensível;-25.155806;-53.795667;coordenada de referência da área amostrada;sem informações;será destinado posteriormente
