Nome da instituicao;Sigla da instituicao;Nome da base de dados;Sigla da base de dados;Responsavel pelo registro;Numero do registro no portal;Numero do registro na base de dados;Data do registro;Data do evento;Data de Carencia;Nome cientifico;Nome comum;Nome cientifico na base de dados;Nivel taxonomico;Numero de individuos;Reino;Filo;Classe;Ordem;Familia;Genero;Especie;Estado de conservacao;Categoria de Ameaca;Localidade;Pais;Estado/Provincia;Municipio;Status de Sensibilidade;Latitude;Longitude;Outras informacoes da localidade;Jurisdicao;Destino do Material
Sem Informações;JBRJ;Herbário do Jardim Botânico do Rio de Janeiro;RB;M. Verdi;RB00602195;4084;16/03/2010;Sem Informações;30/10/2017;Peperomia tetraphylla;Sem Informações;Peperomia tetraphylla (G.Forst.) Hook. & Arn.;species;Sem Informações;Sem Informações;Magnoliophyta;Magnoliopsida;Piperales;Piperaceae;Peperomia;Peperomia tetraphylla;Espécie não Ameaçada;Sem Informações;Forquilha da Aratingaúba / Parque Estadual da Serra do Tabuleiro.;Brasil;Santa Catarina;Imaruí;Espécie não Sensível;-28.1694445;-48.8702778;Sem Informações;Sem Informações;Sem Informações
Sem Informações;JBRJ;Herbário do Jardim Botânico do Rio de Janeiro;RB;J.L. Schmitt;RB00603635;1178;27/01/2010;Sem Informações;30/10/2017;Tillandsia mallemontii;Sem Informações;Tillandsia mallemontii Glaz. ex Mez;species;Sem Informações;Sem Informações;Magnoliophyta;Liliopsida;Poales;Bromeliaceae;Tillandsia;Tillandsia mallemontii;Espécie não Ameaçada;Sem Informações;Forquilinha.;Brasil;Santa Catarina;Imaruí;Espécie não Sensível;-28.1647222;-48.8697223;Sem Informações;Sem Informações;Sem Informações
Sem Informações;JBRJ;Herbário do Jardim Botânico do Rio de Janeiro;RB;M. Verdi;RB00610848;4600;29/04/2010;Sem Informações;30/10/2017;Peperomia tetraphylla;Sem Informações;Peperomia tetraphylla (G.Forst.) Hook. & Arn.;species;Sem Informações;Sem Informações;Magnoliophyta;Magnoliopsida;Piperales;Piperaceae;Peperomia;Peperomia tetraphylla;Espécie não Ameaçada;Sem Informações;Laranjal.;Brasil;Santa Catarina;Paulo Lopes;Espécie não Sensível;-28.08;-48.78;Sem Informações;Sem Informações;Sem Informações
Sem Informações;JBRJ;Herbário do Jardim Botânico do Rio de Janeiro;RB;M. Verdi;RB00610959;4510;27/04/2010;Sem Informações;30/10/2017;Peperomia urocarpa;Sem Informações;Peperomia urocarpa Fisch. & C.A.Mey.;species;Sem Informações;Sem Informações;Magnoliophyta;Magnoliopsida;Piperales;Piperaceae;Peperomia;Peperomia urocarpa;Espécie não Ameaçada;Sem Informações;Morro da Ressacada.;Brasil;Santa Catarina;Garopaba;Espécie não Sensível;-28.08;-48.69;Sem Informações;Sem Informações;Sem Informações
Sem Informações;JBRJ;Herbário do Jardim Botânico do Rio de Janeiro;RB;J.L. Schmitt;RB00591358;1091;27/01/2010;Sem Informações;30/10/2017;Anthurium gaudichaudianum;Sem Informações;Anthurium gaudichaudianum Kunth;species;Sem Informações;Sem Informações;Magnoliophyta;Liliopsida;Alismatales;Araceae;Anthurium;Anthurium gaudichaudianum;Espécie não Ameaçada;Sem Informações;Forquilinha.;Brasil;Santa Catarina;Imaruí;Espécie não Sensível;-28.1647222;-48.8697223;Sem Informações;Sem Informações;Sem Informações
Sem Informações;JBRJ;Herbário do Jardim Botânico do Rio de Janeiro;RB;J. L. Schmitt;RB00593004;1153;27/01/2010;Sem Informações;30/10/2017;Rhipsalis elliptica;Sem Informações;Rhipsalis elliptica G.Lindb. ex K.Schum.;species;Sem Informações;Sem Informações;Magnoliophyta;Magnoliopsida;Caryophyllales;Cactaceae;Rhipsalis;Rhipsalis elliptica;Espécie não Ameaçada;Sem Informações;Forquilinha.;Brasil;Santa Catarina;Imaruí;Espécie não Sensível;-28.1647222;-48.8697223;Sem Informações;Sem Informações;Sem Informações
Sem Informações;JBRJ;Herbário do Jardim Botânico do Rio de Janeiro;RB;J. L. Schmitt;RB00593007;1174;27/01/2010;Sem Informações;30/10/2017;Rhipsalis campos-portoana;Sem Informações;Rhipsalis campos-portoana Loefgr.;species;Sem Informações;Sem Informações;Magnoliophyta;Magnoliopsida;Caryophyllales;Cactaceae;Rhipsalis;Rhipsalis campos-portoana;Espécie não Ameaçada;Sem Informações;Forquilinha.;Brasil;Santa Catarina;Imaruí;Espécie não Sensível;-28.1647222;-48.8697223;Sem Informações;Sem Informações;Sem Informações
Sem Informações;JBRJ;Herbário do Jardim Botânico do Rio de Janeiro;RB;J. L. Schmitt;RB00593025;1100;27/01/2010;Sem Informações;30/10/2017;Rhipsalis puniceodiscus;Sem Informações;Rhipsalis puniceodiscus G.Lindb.;species;Sem Informações;Sem Informações;Magnoliophyta;Magnoliopsida;Caryophyllales;Cactaceae;Rhipsalis;Rhipsalis puniceodiscus;Espécie não Ameaçada;Sem Informações;Forquilinha.;Brasil;Santa Catarina;Imaruí;Espécie não Sensível;-28.1647222;-48.8697223;Sem Informações;Sem Informações;Sem Informações
Sem Informações;JBRJ;Herbário do Jardim Botânico do Rio de Janeiro;RB;J.L.Schmitt;RB00687305;3108;11/10/2010;Sem Informações;30/10/2017;Piper aduncum;Sem Informações;Piper aduncum L.;species;Sem Informações;Sem Informações;Magnoliophyta;Magnoliopsida;Piperales;Piperaceae;Piper;Piper aduncum;Espécie não Ameaçada;Sem Informações;Forquilinha.;Brasil;Santa Catarina;Imaruí;Espécie não Sensível;-28.1647222;-48.8697223;Sem Informações;Sem Informações;Sem Informações
Sem Informações;JBRJ;Herbário do Jardim Botânico do Rio de Janeiro;RB;M. Verdi;RB00598131;4562;29/04/2010;Sem Informações;30/10/2017;Philodendron appendiculatum;Sem Informações;Philodendron appendiculatum Nadruz & Mayo;species;Sem Informações;Sem Informações;Magnoliophyta;Liliopsida;Alismatales;Araceae;Philodendron;Philodendron appendiculatum;Espécie não Ameaçada;Sem Informações;Laranjal. Interior do fragmento.;Brasil;Santa Catarina;Paulo Lopes;Espécie não Sensível;-28.08;-48.78;Sem Informações;Sem Informações;Sem Informações
