,lat,lon
211,-23.294481,-51.170089
212,-23.444503,-51.187256
213,-23.2882,-51.242333
214,-23.2882,-51.242333
215,-23.2882,-51.242333
216,-23.2882,-51.242333
217,-23.31845,-51.221589
218,-23.236139,-51.145417
219,-23.301917,-51.334
220,-23.291139,-51.23375
221,-23.291139,-51.23375
222,-23.291139,-51.23375
223,-23.448056,-51.255833
224,-23.448056,-51.255833
225,-23.448056,-51.255833
226,-23.448056,-51.255833
227,-23.241781,-51.218606
228,-23.450569,-51.283664
229,-23.441356,-51.250706
230,-23.319272,-51.195756
231,-23.319272,-51.195756
232,-23.319272,-51.195756
233,-23.319272,-51.195756
234,-23.319272,-51.195756
235,-23.319272,-51.195756
236,-23.385167,-51.076606
237,-23.385167,-51.076606
238,-23.385167,-51.076606
239,-23.385167,-51.076606
240,-23.385167,-51.076606
241,-23.385167,-51.076606
242,-23.385167,-51.076606
243,-23.385167,-51.076606
244,-23.385167,-51.076606
245,-23.385167,-51.076606
246,-23.385167,-51.076606
247,-23.385167,-51.076606
248,-23.385167,-51.076606
249,-23.385167,-51.076606
250,-23.385167,-51.076606
251,-23.385167,-51.076606
252,-23.385167,-51.076606
253,-23.385167,-51.076606
254,-23.385167,-51.076606
255,-23.385167,-51.076606
256,-23.385167,-51.076606
257,-23.385167,-51.076606
258,-23.319272,-51.195756
259,-23.366869,-51.108472
260,-23.366869,-51.108472
261,-23.366867,-51.108469
262,-23.319272,-51.112422
263,-23.319272,-51.112422
264,-23.319272,-51.112422
265,-23.319272,-51.112422
266,-23.319272,-51.195756
267,-23.319272,-51.195756
268,-23.319272,-51.195756
269,-23.385167,-51.076611
270,-23.385167,-51.076611
271,-23.385167,-51.076611
272,-23.332778,-51.172778
273,-23.266667,-51.05
274,-23.266667,-51.05
275,-23.366667,-51.216667
276,-23.316667,-51.2
277,-23.241667,-51.218056
278,-23.288969,-51.134128
279,-23.288969,-51.134128
280,-23.385278,-51.076111
281,-23.385278,-51.076111
282,-23.385278,-51.076111
283,-23.385278,-51.076111
284,-23.385278,-51.076111
285,-23.321444,-51.208333
286,-23.321444,-51.208333
287,-23.360361,-51.123444
288,-23.308333,-51.158333
